,uuid,census_id,count
812,d954b22d-0031-4b02-b91d-f86c1fbd8d22,55,343
375,5993a94c-7d97-4df7-9abf-e493bfd5d000,55,283
907,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,147,177
392,5993a94c-7d97-4df7-9abf-e493bfd5d000,1248,163
374,5993a94c-7d97-4df7-9abf-e493bfd5d000,53,114
815,dc4f4e8e-d7b0-4e72-b609-97f2796149f9,61,112
379,5993a94c-7d97-4df7-9abf-e493bfd5d000,72,111
294,50765cb7-d9ea-4e21-99a4-fa879613a492,34,104
326,50765cb7-d9ea-4e21-99a4-fa879613a492,147,91
536,8277a5f1-4166-45d1-9f97-905df2a427d5,13,78
283,504f4c45-5354-4152-0000-000000000000,109,73
843,e2c56db5-dffb-48d2-b060-d0f5a71096e0,109,65
284,504f4c45-5354-4152-0000-000000000000,141,63
456,74278bda-b644-4520-8f0c-720eaf059935,34,59
896,f7b5c2e9-949d-49f3-bb3b-08762506cec1,120,58
909,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,154,58
322,50765cb7-d9ea-4e21-99a4-fa879613a492,141,52
810,d954b22d-0031-4b02-b91d-f86c1fbd8d22,34,52
489,74278bda-b644-4520-8f0c-720eaf059935,147,51
391,5993a94c-7d97-4df7-9abf-e493bfd5d000,1246,49
126,2686f39c-bada-4658-854a-a62e7e5e8b8d,34,49
275,4a84c409-89e1-497c-8251-2f2d778db8d6,34,48
834,e2c56db5-dffb-48d2-b060-d0f5a71096e0,34,47
233,2f24dda5-6745-4d39-99cf-d6cbea086401,61,45
376,5993a94c-7d97-4df7-9abf-e493bfd5d000,66,44
494,74278bda-b644-4520-8f0c-720eaf059935,749,44
210,2a955cfd-667b-4ac8-9141-73b9c168da7e,108,43
310,50765cb7-d9ea-4e21-99a4-fa879613a492,109,43
906,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,141,43
383,5993a94c-7d97-4df7-9abf-e493bfd5d000,749,42
213,2a955cfd-667b-4ac8-9141-73b9c168da7e,119,40
295,50765cb7-d9ea-4e21-99a4-fa879613a492,51,40
291,50765cb7-d9ea-4e21-99a4-fa879613a492,29,40
857,e2c56db5-dffb-48d2-b060-d0f5a71096e0,855,39
904,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,29,38
209,2a955cfd-667b-4ac8-9141-73b9c168da7e,106,36
290,50765cb7-d9ea-4e21-99a4-fa879613a492,23,36
811,d954b22d-0031-4b02-b91d-f86c1fbd8d22,53,35
154,2686f39c-bada-4658-854a-a62e7e5e8b8d,147,34
551,89d91339-52a3-405a-9f15-dba920f2726c,109,34
477,74278bda-b644-4520-8f0c-720eaf059935,109,33
333,50765cb7-d9ea-4e21-99a4-fa879613a492,767,33
787,d77657c4-52a7-426f-b9d0-d71e10798c8a,147,31
559,8a21c76b-74e3-4341-92be-33fcfdefdd63,34,31
555,8a21c76b-74e3-4341-92be-33fcfdefdd63,23,31
487,74278bda-b644-4520-8f0c-720eaf059935,145,31
211,2a955cfd-667b-4ac8-9141-73b9c168da7e,115,30
116,2686f39c-bada-4658-854a-a62e7e5e8b8d,13,29
288,50765cb7-d9ea-4e21-99a4-fa879613a492,13,29
285,504f4c45-5354-4152-0000-000000000000,147,29
498,74278bda-b644-4520-8f0c-720eaf059935,769,28
380,5993a94c-7d97-4df7-9abf-e493bfd5d000,78,28
459,74278bda-b644-4520-8f0c-720eaf059935,55,27
340,50765cb7-d9ea-4e21-99a4-fa879613a492,846,27
157,2686f39c-bada-4658-854a-a62e7e5e8b8d,748,27
388,5993a94c-7d97-4df7-9abf-e493bfd5d000,1092,26
537,8277a5f1-4166-45d1-9f97-905df2a427d5,19,25
541,8277a5f1-4166-45d1-9f97-905df2a427d5,29,24
783,d77657c4-52a7-426f-b9d0-d71e10798c8a,141,24
479,74278bda-b644-4520-8f0c-720eaf059935,122,24
218,2a955cfd-667b-4ac8-9141-73b9c168da7e,143,23
903,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,13,23
471,74278bda-b644-4520-8f0c-720eaf059935,83,23
629,9eb353a0-69b6-4947-b710-bae643c8bca5,61,23
276,4a84c409-89e1-497c-8251-2f2d778db8d6,55,23
499,74278bda-b644-4520-8f0c-720eaf059935,773,23
82,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,767,22
378,5993a94c-7d97-4df7-9abf-e493bfd5d000,70,22
331,50765cb7-d9ea-4e21-99a4-fa879613a492,749,22
452,74278bda-b644-4520-8f0c-720eaf059935,23,22
216,2a955cfd-667b-4ac8-9141-73b9c168da7e,130,22
27,00ce1c6a-0f3e-4ba4-955a-69f997ba4aa4,131,22
344,50765cb7-d9ea-4e21-99a4-fa879613a492,871,22
289,50765cb7-d9ea-4e21-99a4-fa879613a492,19,21
597,8a21c76b-74e3-4341-92be-33fcfdefdd63,773,21
457,74278bda-b644-4520-8f0c-720eaf059935,51,21
481,74278bda-b644-4520-8f0c-720eaf059935,131,21
147,2686f39c-bada-4658-854a-a62e7e5e8b8d,133,21
777,d77657c4-52a7-426f-b9d0-d71e10798c8a,109,21
